id,dutch,en,category,d2e_correct,d2e_total,d2e_percentage,e2d_correct,e2d_total,e2d_percentage
1,"hallo","hello","general",2,2,1,0,0,0
2,"dank je wel","thank you","general",1,2,0.5,0,0,0
3,"goedemorgen","good morning","general",1,1,1,0,0,0
4,"tot ziens","goodbye","general",2,3,0.6666666666666666,0,0,0
5,"alsjeblieft","please","general",1,1,1,0,0,0
6,"water","water","food",2,2,1,0,0,0
7,"brood","bread","food",1,1,1,2,2,1
8,"kaas","cheese","food",3,3,1,0,1,0
9,"een","one","numbers",1,1,1,0,0,0
10,"twee","two","numbers",1,1,1,0,0,0
11,"drie","three","numbers",1,1,1,0,0,0
12,"vier","four","numbers",1,1,1,0,0,0
13,"vijf","five","numbers",1,1,1,0,0,0
14,"ja","yes","general",1,1,1,0,0,0
15,"nee","no","general",1,3,0.3333333333333333,0,0,0
16,"misschien","maybe","general",1,1,1,0,0,0
17,"vandaag","today","time",1,1,1,0,0,0
18,"morgen","tomorrow","time",1,2,0.5,0,0,0
19,"gisteren","yesterday","time",1,2,0.5,0,0,0
20,"nu","now","time",1,4,0.25,0,0,0
21,"later","later","time",1,1,1,0,0,0
22,"moeder","mother","family",1,1,1,0,0,0
23,"vader","father","family",1,1,1,0,0,0
24,"kind","child","family",2,2,1,0,0,0
25,"vriend","friend","family",1,1,1,0,0,0
26,"huis","house","places",1,1,1,0,0,0
27,"school","school","places",2,2,1,0,0,0
28,"werk","work","places",1,1,1,0,0,0
29,"winkel","shop, store","places",1,1,1,0,0,0
30,"restaurant","restaurant","places",1,1,1,0,0,0
31,"eten","food, to eat","food",2,2,1,0,0,0
32,"drinken","drink, to drink","food",1,1,1,0,0,0
33,"koffie","coffee","food",2,2,1,0,0,0
34,"thee","tea","food",1,1,1,0,0,0
35,"melk","milk","food",1,1,1,0,0,0
36,"bier","beer","food",1,1,1,0,0,0
37,"vlees","meat","food",1,1,1,0,0,0
38,"vis","fish","food",1,1,1,0,0,0
39,"groente","vegetable","food",1,2,0.5,0,0,0
40,"fruit","fruit","food",2,2,1,0,0,0
41,"zijn","to be,be","verbs",1,1,1,0,0,0
42,"hebben","to have,have","verbs",2,2,1,0,0,0
43,"gaan","to go,go","verbs",1,1,1,0,0,0
44,"komen","to come,come","verbs",1,1,1,0,0,0
45,"maken","to make,make","verbs",1,1,1,0,0,0
46,"doen","to do,do","verbs",1,1,1,0,0,0
47,"zien","to see,see","verbs",0,1,0,0,0,0
48,"horen","to hear,hear","verbs",1,1,1,0,0,0
49,"spreken","to speak,speak","verbs",2,2,1,0,0,0
50,"weten","to know,know","verbs",1,2,0.5,0,0,0
51,"groot","big, large","adjectives",2,2,1,0,0,0
52,"klein","small","adjectives",1,1,1,0,0,0
53,"goed","good","adjectives",2,2,1,0,0,0
54,"slecht","bad","adjectives",1,1,1,0,0,0
55,"mooi","beautiful","adjectives",1,1,1,0,0,0
56,"lelijk","ugly","adjectives",3,3,1,0,0,0
57,"nieuw","new","adjectives",1,1,1,0,0,0
58,"oud","old","adjectives",2,2,1,0,0,0
59,"warm","warm","adjectives",2,2,1,0,0,0
60,"koud","cold","adjectives",1,1,1,0,0,0
61,"wat","what","questions",1,1,1,0,0,0
62,"wie","who","questions",1,4,0.25,0,0,0
63,"waar","where","questions",1,1,1,0,0,0
64,"wanneer","when","questions",0,2,0,0,0,0
65,"waarom","why","questions",1,1,1,0,0,0
66,"hoe","how","questions",2,3,0.6666666666666666,0,0,0
67,"hoeveel","how much, how many","questions",1,1,1,0,0,0
68,"man","man","general",1,1,1,0,0,0
69,"vrouw","woman","general",1,1,1,0,0,0
70,"jongen","boy","general",1,2,0.5,0,0,0
71,"meisje","girl","general",2,3,0.6666666666666666,0,0,0
72,"dag","day","general",1,1,1,0,0,0
73,"nacht","night","general",1,1,1,0,0,0
74,"week","week","general",3,3,1,0,0,0
75,"maand","month","general",1,1,1,0,0,0
76,"jaar","year","general",2,2,1,0,0,0
77,"tijd","time","general",1,1,1,0,0,0
78,"geld","money","general",1,1,1,0,0,0
79,"naam","name","general",3,3,1,0,0,0
80,"stad","city","general",3,3,1,0,0,0
81,"land","country","general",1,2,0.5,0,0,0
82,"straat","street","general",1,1,1,0,0,0
83,"auto","car","general",1,1,1,0,0,0
84,"fiets","bicycle","general",0,1,0,0,0,0
85,"trein","train","general",2,2,1,0,0,0
86,"bus","bus","general",1,1,1,0,0,0
87,"boek","book","general",1,1,1,0,0,0
88,"tafel","table","general",2,2,1,0,0,0
89,"stoel","chair","general",1,1,1,0,0,0
90,"deur","door","general",1,1,1,0,0,0
91,"raam","window","general",1,1,1,0,0,0
92,"bed","bed","general",1,1,1,0,0,0
93,"telefoon","phone","general",1,1,1,0,0,0
94,"computer","computer","general",2,2,1,0,0,0
95,"muziek","music","general",1,1,1,0,0,0
96,"film","movie","general",1,2,0.5,0,0,0
97,"foto","photo","general",3,3,1,0,0,0
98,"brief","letter","general",1,1,1,0,0,0
99,"krant","newspaper","general",1,1,1,0,0,0
100,"vraag","question","general",1,1,1,0,0,0
