id,kanji,en,category,k2e_correct,k2e_total,k2e_percentage
1,"飲む放題","nomuhoudai","general",13,16,0.8125
2,"居酒屋","izakaya","general",9,14,0.6428571428571429
3,"末","sue,end","general",7,13,0.5384615384615384
4,"命","life,inochi","general",7,12,0.5833333333333334
5,"登","climbing","general",11,16,0.6875
6,"信じる","shinjiru,believe","verbs",10,17,0.5882352941176471
7,"恋人","koibito,lover","general",9,15,0.6
8,"広さ","hirosa,area","general",8,13,0.6153846153846154
9,"席","seki,seat","general",10,15,0.6666666666666666
10,"案内する","annai suru,annaisuru,show around","verbs",8,13,0.6153846153846154
11,"今晩","tonight,konban","general",12,17,0.7058823529411765
12,"中学生","chuugakusei,middle school students,secondary school student","general",13,18,0.7222222222222222
13,"疲れた","tired,tsukareta","adjectives",9,14,0.6428571428571429
14,"下げる","sageru,lower","verbs",10,17,0.5882352941176471
15,"無","none","general",10,15,0.6666666666666666
16,"関して","regarding,kanshite","general",10,16,0.625
17,"員","member,in","general",8,12,0.6666666666666666
18,"目","eye,me","body",9,13,0.6923076923076923
19,"桜","sakura","general",8,12,0.6666666666666666
20,"全部","zenbu,all","general",10,14,0.7142857142857143
21,"お米","rice,okome","general",8,12,0.6666666666666666
22,"社長","president,shachou","general",7,12,0.5833333333333334
23,"過ぎる","sugiru,pass","verbs",8,12,0.6666666666666666
24,"焼き肉","yakiniku,grilled meat","food",9,13,0.6923076923076923
25,"女性","josei,woman","general",7,15,0.4666666666666667
26,"先","sen,saki,address,destination","general",8,12,0.6666666666666666
27,"届ける","todokeru,deliver","verbs",9,13,0.6923076923076923
28,"兄","ani,brother","family",10,14,0.7142857142857143
29,"閉める","shimeru,close","verbs",11,15,0.7333333333333333
30,"朝","asa,morning","time",9,13,0.6923076923076923
31,"不要","fuyou,unnecessary","general",10,16,0.625
32,"歌手","kashu,singer","general",9,13,0.6923076923076923
33,"夏","natsu,summer","season",8,12,0.6666666666666666
34,"雪","snow,yuki","weather",9,14,0.6428571428571429
35,"二子新地","futakoshinchi","place",8,12,0.6666666666666666
36,"油","oil,abura","general",8,12,0.6666666666666666
37,"弁当","bento","general",10,15,0.6666666666666666
38,"南","minami,south","general",11,15,0.7333333333333333
39,"困る","komaru,have difficulty,be in trouble","verbs",9,14,0.6428571428571429
40,"風邪","cold,kaze","general",7,13,0.5384615384615384
41,"虫","mushi,insect","animal",7,13,0.5384615384615384
42,"代わり","kawari,substitute","general",8,12,0.6666666666666666
43,"体重","body weight,taijuu","general",9,13,0.6923076923076923
44,"江田","eda","place",9,13,0.6923076923076923
45,"血","blood,chi","general",8,12,0.6666666666666666
46,"答える","kotaeru,answer","verbs",9,13,0.6923076923076923
47,"海外","overseas,kaigai","general",10,14,0.7142857142857143
48,"払う","harau,pay","verbs",9,14,0.6428571428571429
49,"町","machi,town","general",8,12,0.6666666666666666
50,"来る","kuru,come","verbs",8,13,0.6153846153846154
51,"音声","onsei,audio","general",8,13,0.6153846153846154
52,"決","ketsu,decision","general",10,17,0.5882352941176471
53,"作文","sakubun,composition","general",8,12,0.6666666666666666
54,"個人","kojin,personal","general",6,14,0.42857142857142855
55,"以外","igai,exception","general",9,13,0.6923076923076923
56,"広場","hiroba,square","general",7,13,0.5384615384615384
57,"出発する","shuppatsusuru,leave,depart","verbs",9,12,0.75
58,"珍しい","rare,mezurashii","adjectives",8,16,0.5
59,"ご先祖","gosenzo,ancestor,ancestors","general",9,12,0.75
60,"部分","bubun,part","general",8,15,0.5333333333333333
61,"西","nishi,west","general",13,19,0.6842105263157895
62,"酒","sake","general",13,19,0.6842105263157895
63,"怒れる","get angry,ikareru","verbs",8,14,0.5714285714285714
64,"東","higashi,east,tou","general",9,13,0.6923076923076923
65,"工事","kouji,construction","general",12,14,0.8571428571428571
66,"地図","chizu,map","general",9,12,0.75
67,"夕日","yuuhi,setting sun","general",7,12,0.5833333333333334
68,"比べる","kuraberu,compare","verbs",8,12,0.6666666666666666
69,"夢","dream,yume","general",7,12,0.5833333333333334
70,"会話","kaiwa,conversation","general",6,12,0.5
71,"利用者","riyousha,user","general",8,14,0.5714285714285714
72,"畑","field,hatake","general",10,13,0.7692307692307693
73,"神奈川","kanagawa","place",9,13,0.6923076923076923
74,"映画","eiga,movie","general",7,12,0.5833333333333334
75,"用事","youji,task","general",7,13,0.5384615384615384
76,"春","haru,spring","seasons",7,12,0.5833333333333334
77,"お先に失礼します","osakinishitsureishimasu,pardon me for leaving first","general",9,13,0.6923076923076923
78,"会議","kaigi,meeting","general",8,13,0.6153846153846154
79,"梅雨","rainy season,tsuyu","general",8,15,0.5333333333333333
80,"台所","daidokoro,kitchen","general",11,15,0.7333333333333333
81,"関東","kanto,kantou","place",11,15,0.7333333333333333
82,"場合","case,baai","general",10,12,0.8333333333333334
83,"片付ける","katadzukeru,tidy up","verbs",12,14,0.8571428571428571
84,"お土産","souvenir,omiyage","general",8,14,0.5714285714285714
85,"申し込む","apply,moushikomu","verbs",11,13,0.8461538461538461
86,"一方では","ippoudeha,on the one hand","general",7,13,0.5384615384615384
87,"学習者","gakushuusha,learner","general",8,13,0.6153846153846154
88,"生きる","live,ikiru","verbs",10,13,0.7692307692307693
89,"子供たち","kodomotachi,children,kids","general",9,14,0.6428571428571429
90,"小型","kotagata,small,small sized,small-sized","general",11,14,0.7857142857142857
91,"答えは","kotaeba,answer","general",8,12,0.6666666666666666
92,"参加","sanka,participation","general",10,15,0.6666666666666666
93,"問題","mondai,question,problem","general",8,15,0.5333333333333333
94,"包丁","houchou,knife","general",7,13,0.5384615384615384
95,"電気代","electric bill,denkidai","general",8,14,0.5714285714285714
96,"待つ","matsu,wait","verbs",10,15,0.6666666666666666
97,"うつ病","utsubyou,depression","general",10,15,0.6666666666666666
98,"港","minato,port","nature",12,14,0.8571428571428571
99,"強","strength,kyou","general",9,12,0.75
100,"丘","oka,hill","nature",12,14,0.8571428571428571
101,"着物","kimono","general",10,13,0.7692307692307693
102,"空","sky,sora","nature",8,12,0.6666666666666666
103,"十分","sufficient,juubun","general",10,14,0.7142857142857143
104,"落ちる","fall,ochiru","general",9,13,0.6923076923076923
105,"あっという間です","attoiumadesu,it is so fast","general",6,12,0.5
106,"お前","you,omae","general",11,17,0.6470588235294118
107,"風","wind,fu,kaze","general",9,13,0.6923076923076923
108,"背の高い","senotakai,tall","general",7,12,0.5833333333333334
109,"時代","jidai,era","general",10,12,0.8333333333333334
110,"事務員","clerk,jimuin","general",8,14,0.5714285714285714
111,"利用","riyou,use","general",6,13,0.46153846153846156
112,"引っぱる","hipparu,pull","general",7,14,0.5
113,"仲良い","close,nakaii","adjectives",8,13,0.6153846153846154
114,"時代","age,jidai","general",10,12,0.8333333333333334
115,"記事","article,kiji","general",11,13,0.8461538461538461
116,"育つ","sodatsu,be raised","verbs",9,14,0.6428571428571429
117,"台湾","taiwan","country",10,15,0.6666666666666666
118,"大分","oita","place",8,16,0.5
119,"鼠","nezumi,mouse","animal",8,12,0.6666666666666666
120,"お笑い","comedy,owarai","general",8,15,0.5333333333333333
121,"荷物","nimotsu,luggage","general",9,12,0.75
122,"北海道","hokkaido","place",9,12,0.75
123,"力士","rikishi,sumo wrestler","general",8,15,0.5333333333333333
124,"弱い","yowai,weak","adjectives",9,12,0.75
125,"初める","hajimeru,start,begin","verbs",9,12,0.75
126,"文化","bunka,culture","general",10,14,0.7142857142857143
127,"お笑い芸人","comedian,owaraigeinin","general",12,15,0.8
128,"他には","hokaniha,hokaniwa,aside from that","general",9,12,0.75
129,"海外旅行","kaigairyokou,trip abroad,travel abroad","general",8,13,0.6153846153846154
130,"早い","hayai,fast,quick,early","adjectives",6,12,0.5
131,"文","sentence,bun","school",10,13,0.7692307692307693
132,"切る","kiru,cut","verbs",10,14,0.7142857142857143
133,"家族","kazoku,family","family",9,12,0.75
134,"昼食","chuushoku,lunch","general",11,14,0.7857142857142857
135,"気温","kion,temperature","general",9,13,0.6923076923076923
136,"理由","riyuu,reason","general",10,24,0.4166666666666667
137,"社会","shakai,society","general",10,13,0.7692307692307693
138,"聞る","kiru,hear,listen","verbs",7,12,0.5833333333333334
139,"鳥","bird,tori","animal",9,15,0.6
140,"全員","everyone,zenin","general",11,15,0.7333333333333333
141,"空気","kuuki,air","nature",5,12,0.4166666666666667
142,"以下","ika,below","general",8,14,0.5714285714285714
143,"曲","kyoku,song","general",8,13,0.6153846153846154
144,"大切","taisetsu,precious","general",10,14,0.7142857142857143
145,"社","sha","general",9,12,0.75
146,"会","kai","general",9,12,0.75
147,"全て","all, subete","general",11,14,0.7857142857142857
148,"頭","atama,head","body",9,13,0.6923076923076923
149,"以内","inai,within","body",12,15,0.8
150,"案","an,plan","general",7,13,0.5384615384615384
151,"流す","nagasu,drain","verbs",9,14,0.6428571428571429
152,"口","kuchi,mouth","general",12,15,0.8
153,"受ける","receive,ukeru","verbs",9,12,0.75
154,"作る","tsukuru,make","verbs",8,12,0.6666666666666666
155,"猫","neko,cat","animal",10,13,0.7692307692307693
156,"始まる","hajimaru,begin,start","verbs",11,14,0.7857142857142857
157,"届く","todoku,deliver","verbs",9,12,0.75
158,"貝","kai,shellfish","animal",9,13,0.6923076923076923
159,"有名","yuumei,famous","general",7,12,0.5833333333333334
160,"動物","doubutsu,animal","animal",9,12,0.75
161,"走る","hashiru,run","verbs",6,12,0.5
162,"高まる","takamaru,rise","general",10,14,0.7142857142857143
163,"当然","touzen,surely","general",9,12,0.75
164,"台","dai","general",9,12,0.75
165,"才","sai,age","general",9,12,0.75
166,"長さ","length,nagasa","general",9,12,0.75
167,"文学","bungaku,literature","school",11,14,0.7857142857142857
168,"お腹,腹","hara,onaka,stomach","body",8,12,0.6666666666666666
169,"欧米","oubei,europe and america","general",7,12,0.5833333333333334
170,"十代","teen years,juudai","general",8,14,0.5714285714285714
171,"池","ike,pond","nature",10,15,0.6666666666666666
172,"呼び止める","yobitomeru,stop","general",8,14,0.5714285714285714
173,"他方では","tahoudeha,on the other hand","general",8,12,0.6666666666666666
174,"すずかけ台","suzukakedai","place",10,14,0.7142857142857143
175,"悲しい","sad,kanashii","adjectives",18,28,0.6428571428571429
176,"手伝い","tetsudai,help","general",9,13,0.6923076923076923
177,"時々","tokidoki,sometimes","general",9,12,0.75
178,"亡くなる","nakunaru,pass away","verbs",9,12,0.75
179,"京都","kyoto","places",10,14,0.7142857142857143
180,"下がる","sagaru,go down","verbs",9,12,0.75
181,"羽田","haneda","place",12,15,0.8
182,"心配","anxiety,shinpai,worry","general",7,12,0.5833333333333334
183,"遊ぶ","asobu,play","verbs",9,12,0.75
184,"周り","mawari,around","general",8,12,0.6666666666666666
185,"食","shoku,food","general",9,13,0.6923076923076923
186,"話","hanasu,talk","general",8,12,0.6666666666666666
187,"若い","wakai,young","adjectives",23,31,0.7419354838709677
188,"大事","important,daiji","adjectives",14,19,0.7368421052631579
189,"嬉しい","ureshii,happy","adjectives",17,26,0.6538461538461539
190,"共通","common,kyoutsuu","adjectives",28,39,0.717948717948718
191,"専門店","senmonten,specialty shop","general",12,14,0.8571428571428571
192,"頭がいい","atamagaii,smart","adjectives",16,21,0.7619047619047619
193,"高校","koukou,high school","school",12,15,0.8
194,"好む","prefer,konomu","verbs",13,16,0.8125
195,"温かい","warm,atatakai","adjectives",17,23,0.7391304347826086
196,"特別","tokubetsu,special","adjectives",16,22,0.7272727272727273
197,"月","tsuki,moon,getsu,gatsu","nature",11,14,0.7857142857142857
198,"色","colour,iro","color",11,14,0.7857142857142857
199,"お気に入り","okiniiri,favorite","general",9,12,0.75
200,"外国人","gaikokujin,gaijin,foreigner","general",11,14,0.7857142857142857
201,"当たり","hit,atari","general",8,13,0.6153846153846154
202,"物","stuff,mono","general",10,13,0.7692307692307693
203,"気に入る","kiniiru,like","verbs",10,13,0.7692307692307693
204,"安","cheap,yasui","adjectives",13,17,0.7647058823529411
205,"洗う","arau,wash","adjectives",13,17,0.7647058823529411
206,"大変","taihen,tough","adjectives",19,25,0.76
207,"不便","fuben,inconvenient","adjectives",21,29,0.7241379310344828
208,"忙しい","isogashii,busy","adjectives",24,31,0.7741935483870968
209,"増やす","increase,fuyasu","verbs",11,12,0.9166666666666666
210,"以上","ijou,over","general",10,15,0.6666666666666666
211,"回る","mawaru,turn","verbs",10,12,0.8333333333333334
212,"学ぶ","manabu,study","verbs",11,12,0.9166666666666666
213,"海","umi,sea","general",13,14,0.9285714285714286
214,"眠い","nemui,sleepy","adjectives",13,14,0.9285714285714286
215,"平気","heiki,cool,fine","general",8,13,0.6153846153846154
216,"始める","start,hajimeru","verbs",9,12,0.75
217,"医","i,doctor","jobs",9,12,0.75
218,"代","dai","general",11,14,0.7857142857142857
219,"次々","tsugitsugi,one by one","general",9,14,0.6428571428571429
220,"桜新町","sakura shinmachi,sakurashinmachi,sakurashin machi","place",11,13,0.8461538461538461
221,"生活","life,seikatsu","general",8,13,0.6153846153846154
222,"学習","gakushuu,learning","general",9,12,0.75
223,"校歌","school song,kouka,school march","general",11,13,0.8461538461538461
224,"都心","toshin,city center","place",9,14,0.6428571428571429
225,"方","hou,direction","general",8,12,0.6666666666666666
226,"お祭り","festival,omatsuri","general",13,16,0.8125
227,"新","shin,new","adjective",15,19,0.7894736842105263
228,"光","hikari,light","general",10,13,0.7692307692307693
229,"歌う","sing,utau","verbs",12,14,0.8571428571428571
230,"赤","red,aka","color",9,12,0.75
231,"明後日","asatte,the day after tomorrow","general",10,12,0.8333333333333334
232,"私","me,i,watashi","general",11,13,0.8461538461538461
233,"つきみ野","tsukimino","place",11,14,0.7857142857142857
234,"辞める","yameru,quit,resign","general",10,14,0.7142857142857143
235,"毎","mai,every","general",10,13,0.7692307692307693
236,"初めて","first time,hajimete","general",10,13,0.7692307692307693
